0,000	0,000	0,000	0,000
6,685	0,000	0,000	0,000
12,631	0,000	3,670	0,000
18,876	0,000	8,933	0,000
9,597	0,000	0,000	0,000
10,262	0,000	0,000	0,000
10,721	0,000	0,000	0,000
5,384	0,000	0,000	0,000
6,536	0,000	3,670	0,000
0,140	0,000	0,000	0,000
0,019	0,000	0,000	0,000
0,009	0,000	0,000	0,000
0,000	0,000	3,380	0,000
0,000	0,000	0,037	0,000
0,009	0,000	13,783	0,000
3,399	0,000	0,000	0,000
3,343	0,000	0,000	0,000
6,030	0,000	0,000	0,000
38,193	0,000	0,674	0,000
46,283	0,000	0,000	0,000
51,985	0,019	0,000	0,019
49,242	0,019	0,000	0,019
44,569	0,000	0,000	0,000
44,710	0,000	0,000	0,000
47,659	0,009	0,000	0,009
49,625	0,000	0,000	0,000
47,809	0,009	0,000	0,009
48,390	0,094	0,000	0,094
48,474	0,131	0,000	0,131
48,249	0,000	0,000	0,000
52,678	3,287	0,000	3,287
48,024	19,242	0,009	19,242
40,103	25,815	1,301	1,301
38,099	19,579	3,399	3,399
42,528	13,745	2,125	2,125
46,760	4,663	6,854	6,854
44,391	0,140	3,268	0,140
46,367	2,500	0,056	2,500
47,846	1,976	0,000	1,976
47,125	0,019	0,000	0,019
48,567	6,526	0,028	6,526
48,820	9,719	0,028	9,719
49,850	6,507	0,000	6,507
46,367	9,803	0,000	9,803
49,635	10,590	0,234	10,590
51,386	0,028	0,234	0,028
48,745	2,294	0,000	2,294
45,824	4,007	2,350	4,007
40,646	0,112	0,028	0,112
41,882	0,037	0,019	0,037
43,390	4,316	0,028	4,316
45,178	18,820	0,028	18,820
39,148	22,594	2,154	2,154
33,670	20,637	6,948	6,948
22,022	21,854	10,880	10,880
14,963	8,296	0,655	0,655
0,112	0,000	6,442	0,000
0,000	0,000	6,442	0,000
0,075	0,000	0,000	0,000
3,455	0,000	0,000	0,000
5,468	0,000	0,000	0,000
0,000	0,000	5,272	0,000
0,000	0,000	13,764	0,000
3,361	0,000	0,000	0,000
4,644	0,000	0,009	0,000
11,648	0,000	0,009	0,000
6,948	0,000	16,021	0,000
0,000	0,000	21,451	0,000
0,112	0,000	10,899	0,000
0,000	0,000	0,000	0,000
0,000	0,000	0,047	0,000
0,000	0,000	0,047	0,000
0,000	0,000	0,019	0,000
0,037	0,000	1,461	0,000
3,305	0,000	0,009	0,000
20,496	0,000	0,000	0,000
39,232	0,000	0,000	0,000
41,845	6,685	2,051	6,685
50,375	4,981	0,000	4,981
47,566	0,009	0,009	0,009
47,575	0,009	0,009	0,009
49,204	0,009	0,000	0,009
48,137	1,901	0,000	1,901
48,586	1,657	0,056	1,657
49,944	0,000	3,343	0,000
46,582	0,000	11,255	0,000
47,537	0,000	11,189	0,000
43,127	0,000	0,000	0,000
46,854	4,860	0,000	4,860
50,571	0,056	0,000	0,056
48,811	0,000	0,000	0,000
37,790	0,000	0,000	0,000
28,661	0,000	0,000	0,000
33,052	4,710	0,000	4,710
26,414	21,695	9,448	21,695
41,002	10,983	7,781	7,781
45,890	0,000	0,000	0,000
46,161	0,028	0,000	0,028
47,369	0,009	0,000	0,009
47,013	0,009	0,000	0,009
46,283	0,000	0,000	0,000
42,940	0,000	0,000	0,000
45,103	0,000	0,000	0,000
46,507	0,000	0,000	0,000
47,800	7,079	3,277	7,079
42,547	19,139	2,182	19,139
48,184	4,579	0,000	0,000
48,530	0,009	0,000	0,009
51,919	0,103	0,000	0,103
52,200	0,075	0,000	0,075
35,515	5,487	3,408	5,487
6,124	2,725	3,408	2,725
3,464	0,000	3,464	0,000
4,532	0,000	5,543	0,000
0,000	0,000	0,028	0,000
0,000	0,000	0,028	0,000
0,000	0,000	7,547	0,000
0,000	0,000	7,547	0,000
4,382	0,000	3,670	0,000
4,448	0,000	7,341	0,000
0,066	0,000	3,717	0,000
11,788	0,000	0,112	0,000
37,247	0,000	0,000	0,000
39,345	0,047	11,404	0,047
46,451	0,047	11,161	0,047
44,157	0,000	0,009	0,000
43,502	0,000	0,009	0,000
47,940	0,009	0,000	0,009
49,120	0,037	0,009	0,037
50,346	24,579	2,116	24,579
38,586	35,740	2,116	2,116
31,133	31,536	7,500	7,500
30,506	29,635	5,637	5,637
30,243	28,933	4,888	4,888
31,536	31,816	4,429	4,429
41,704	40,431	7,032	7,032
26,011	25,796	11,180	11,180
25,515	26,283	9,494	9,494
40,674	40,019	0,974	0,974
32,491	31,667	5,609	5,609
29,504	30,262	9,560	9,560
34,953	23,596	10,721	10,721
49,972	10,028	3,380	3,380
18,052	0,000	3,380	3,380
2,828	0,000	0,000	0,000
2,828	0,000	0,000	0,000
0,000	0,000	0,019	0,000
0,000	0,000	0,000	0,000
0,000	0,000	0,000	0,000
