0,009	0,000
0,009	0,000
0,009	0,000
0,009	0,000
0,009	0,000
0,009	0,000
0,009	0,000
0,009	0,000
0,009	0,000
0,047	0,000
0,047	0,000
0,047	0,000
0,047	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,037	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
3,240	0,000
6,142	0,000
7,528	0,000
7,528	0,000
7,528	0,000
9,953	0,000
9,953	0,000
9,953	0,000
9,953	0,000
9,953	0,000
9,953	0,000
9,953	0,000
9,953	0,000
9,953	0,000
9,953	0,000
6,713	0,000
3,811	0,000
2,425	0,000
2,425	0,000
2,425	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,019	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
0,000	0,000
