0,019	0,000	0,000	0,000
0,019	0,000	0,000	0,000
0,000	0,000	0,000	0,000
9,541	0,000	0,000	0,000
5,599	0,000	0,000	0,000
0,037	0,000	0,000	0,000
0,009	0,000	0,000	0,000
0,262	0,000	2,303	0,000
21,517	0,000	15,787	0,000
50,590	0,000	20,777	0,000
48,399	0,000	0,000	0,000
48,483	0,000	0,019	0,000
46,330	0,000	0,000	0,000
45,974	0,000	0,000	0,000
50,075	0,000	0,000	0,000
49,326	0,000	0,000	0,000
49,597	0,000	0,000	0,000
47,753	9,728	0,000	9,728
47,144	11,994	5,787	11,994
48,361	0,084	0,000	0,000
49,794	0,524	0,028	0,524
46,582	2,519	2,781	2,519
43,446	2,416	7,556	2,416
44,607	0,009	0,000	0,009
49,560	0,009	0,000	0,009
42,584	0,000	0,000	0,000
31,030	0,000	0,000	0,000
30,169	0,000	0,000	0,000
37,828	0,047	0,000	0,047
47,144	0,047	0,000	0,047
44,326	3,624	2,013	3,624
36,273	21,301	2,743	21,301
36,461	20,272	4,391	4,391
29,157	28,483	3,034	3,034
33,727	23,399	7,631	7,631
28,165	20,918	6,386	6,386
25,880	25,665	4,195	4,195
30,777	31,536	0,056	0,056
33,240	26,657	6,554	6,554
35,037	24,878	6,554	6,554
38,549	16,479	4,185	4,185
35,468	27,331	3,090	3,090
41,667	23,212	7,687	7,687
38,998	3,914	5,487	5,487
12,622	0,000	0,000	0,000
4,092	0,000	0,000	0,000
5,880	0,000	0,000	0,000
5,871	0,000	0,000	0,000
0,000	0,000	0,000	0,000
0,000	0,000	0,000	0,000
0,122	0,000	0,000	0,000
0,000	0,000	0,000	0,000
0,066	0,000	0,000	0,000
3,352	0,000	0,000	0,000
15,581	0,028	0,000	0,028
17,706	0,028	0,000	0,028
3,390	0,000	0,000	0,000
3,352	0,000	0,215	0,000
3,352	0,000	0,215	0,000
13,830	0,000	2,228	0,000
43,221	7,687	2,228	7,687
33,530	21,845	1,667	21,845
23,052	23,202	7,079	7,079
34,625	34,485	11,227	11,227
31,479	31,199	6,376	6,376
23,951	23,577	6,667	6,667
33,193	16,348	8,848	8,848
47,172	23,989	4,710	4,710
31,742	31,283	2,753	2,753
32,575	31,142	5,337	5,337
27,200	26,582	5,515	5,515
21,301	21,367	6,124	6,124
21,217	19,513	0,749	0,749
24,719	24,157	4,504	4,504
25,974	27,612	3,165	3,165
31,517	33,624	12,247	12,247
39,682	36,227	10,552	10,552
35,515	13,680	3,352	3,352
24,691	0,000	0,000	0,000
27,678	0,000	0,000	0,000
20,702	0,000	0,000	0,000
27,940	0,000	0,000	0,000
48,202	0,009	0,000	0,009
33,670	0,009	0,000	0,009
37,079	0,000	0,000	0,000
