3,099	0,000	0,000	0,000
0,028	0,000	0,000	0,000
0,000	0,000	0,000	0,000
0,028	0,000	0,000	0,000
20,880	0,000	0,000	0,000
8,670	0,000	0,094	0,000
0,000	0,000	0,094	0,000
0,000	0,000	0,000	0,000
0,019	0,000	0,000	0,000
7,350	0,000	0,009	0,000
0,955	0,000	0,009	0,000
0,000	0,000	0,000	0,000
0,122	0,000	0,000	0,000
0,000	0,000	0,000	0,000
0,000	0,000	0,000	0,000
3,399	0,000	0,000	0,000
3,343	0,000	0,000	0,000
10,056	0,000	0,037	0,000
32,341	16,770	11,414	16,770
41,311	21,704	4,007	4,007
39,382	21,742	8,118	8,118
36,283	35,702	2,369	2,369
42,968	29,466	0,019	0,019
42,069	12,051	2,200	2,200
41,348	18,071	0,000	0,000
46,966	15,880	0,075	0,075
49,251	5,730	0,075	0,075
49,204	9,242	0,000	9,242
51,245	13,287	0,000	13,287
47,416	13,399	0,000	0,000
42,678	18,193	3,296	3,296
45,655	8,521	4,888	4,888
47,949	10,880	1,601	1,601
45,993	11,919	0,000	0,000
49,251	6,976	0,037	0,037
45,094	14,569	0,084	14,569
47,425	18,418	3,315	3,315
43,202	7,743	10,777	10,777
13,277	2,640	5,449	2,640
0,852	0,000	0,056	0,000
4,082	0,000	3,670	0,000
3,511	0,000	0,000	0,000
5,112	0,000	0,000	0,000
0,000	0,000	0,000	0,000
