0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
5,487
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
2,828
2,828
2,828
2,828
2,828
2,828
2,828
2,828
2,828
2,828
2,828
2,828
2,828
3,904
3,904
1,077
1,077
1,077
1,077
1,077
1,077
1,077
1,077
1,077
1,077
1,077
1,077
1,077
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,000
0,637
2,444
5,833
6,096
7,912
11,217
11,676
11,910
11,919
15,131
16,648
16,648
17,444
17,472
17,472
22,875
21,096
17,706
18,493
16,685
13,848
19,710
22,875
22,987
20,019
18,502
18,502
17,734
20,899
20,899
14,916
21,311
23,801
22,800
22,790
22,818
16,498
13,109
15,684
15,478
15,478
15,478
15,449
12,257
12,341
12,341
8,202
5,712
9,017
15,187
14,691
14,700
14,691
15,281
20,215
20,318
20,552
26,695
26,695
26,629
26,573
24,822
25,309
22,041
15,871
16,011
19,335
24,897
21,891
20,684
20,581
20,421
18,736
21,545
21,526
21,526
23,989
23,530
23,933
24,476
24,813
21,620
22,219
22,032
18,268
22,921
22,903
24,897
22,228
22,285
23,193
22,032
24,944
24,579
26,114
25,637
25,712
19,738
19,775
19,916
17,303
19,176
12,725
12,818
12,800
11,938
10,131
10,496
16,526
17,331
17,425
17,566
18,876
18,745
18,708
16,676
14,747
14,747
19,944
23,858
23,820
26,582
23,305
20,047
21,863
21,816
21,461
23,230
26,564
26,798
30,562
32,912
34,419
30,122
29,457
34,691
32,135
34,157
32,154
28,455
31,704
35,019
32,584
30,908
